DATE,PS_LEVEL,PS_INNOV,PS_VWF
19620831,-0.01753665,0.00437073,-99
19620928,-0.00407476,0.01230259,-99
19621031,-0.10420795,-0.07407571,-99
19621130,-0.0197417,0.02923186,-99
19621231,-0.00508915,0.01592809,-99
19630131,-0.05579702,0.01013548,-99
19630228,0.01440418,0.02730486,-99
19630329,-0.02337483,-0.01976108,-99
19630430,0.05413276,0.07753007,-99
19630531,0.00354149,-0.01249653,-99
19630628,0.00959261,-0.00211685,-99
19630731,0.01432661,0.0199985,-99
19630830,0.03377124,0.03827846,-99
19630930,-0.00753905,0.01945764,-99
19631031,0.02680866,0.03231324,-99
19631129,-0.05313639,-0.06025887,-99
19631231,-0.02057325,0.01260508,-99
19640131,-0.07136749,-0.05350868,-99
19640228,-0.02474942,0.01327683,-99
19640331,0.03138957,0.04367344,-99
19640430,-0.04066846,-0.027783,-99
19640528,-0.02572535,-0.00681325,-99
19640630,-0.05656623,-0.00964912,-99
19640731,0.05818911,0.05740937,-99
19640831,-0.0485148,-0.04429911,-99
19640930,-0.00816254,0.01159536,-99
19641030,0.01293442,0.03942566,-99
19641130,0.0148867,-0.0041204,-99
19641231,-0.02673177,-0.01476495,-99
19650129,0.03792482,0.07015886,-99
19650226,-0.01642748,0.02251121,-99
19650331,0.03396719,0.01712954,-99
19650430,0.02236126,0.0400829,-99
19650528,-0.0129433,0.03340181,-99
19650630,-0.16341145,-0.11239919,-99
19650730,-0.0809777,-0.04806197,-99
19650831,-0.03474858,0.07510714,-99
19650930,0.02700287,0.0649485,-99
19651029,0.00619804,-0.0249281,-99
19651130,0.04447103,0.06481355,-99
19651231,0.04088096,0.02411816,-99
19660131,0.0399734,0.02030621,-99
19660228,0.03502075,0.04417305,-99
19660331,-0.06624636,-0.06606716,-99
19660429,0.02544977,0.0540113,-99
19660531,-0.1212082,-0.07709662,-99
19660630,-0.05336691,-0.01233751,-99
19660729,-0.03300129,0.01009222,-99
19660831,-0.10666605,-0.08527578,-99
19660930,-0.08782642,-0.0445205,-99
19661031,-0.20654296,-0.08215993,-99
19661130,-0.05410494,0.05262228,-99
19661230,-0.02167904,0.04960729,-99
19670131,-0.02740856,0.0135972,-99
